ID,Task,Priority,PercentComplete,Notes
1,Hero status card numbers match real underlying data,Medium,0,Not implemented end-to-end; metrics use mocks or not wired
2,Join New Leagues carousel scrolls smoothly / HOT badge / countdowns / Join Now enrolls,Medium,0,UI placeholder; join flow not fully wired to server
3,Joining a league without enough chips blocked with clear message,Medium,0,Purchase/entry-fee checks not enforced server-side in app
4,Your Leagues list matches My Leagues exactly,Medium,0,UI parity not fully verified/implemented
5,Quick Actions deep-link to correct screens,Medium,0,Quick Actions present but deep links may be placeholders
6,Empty state shows correct CTA,Medium,0,Empty state UI exists but CTA trigger not verified
7,All-survived/at-risk/live-now states render correct copy/colours,Medium,0,Mostly UI mock-driven; not fully verified
8,"N players eliminated this GW" stat accurate; View Stats opens real data,Medium,0,Stats wiring incomplete
9,Countdown timers keep ticking after background/reopen,Medium,0,No robust background timer handling implemented
10,Invite & Earn referral credits correct and cannot be abused,Medium,0,Referral backend rules not present/verified
11,Sign up creates exactly one account,Medium,50,Signup UI and mutation exist (mock); backend account creation not fully real
12,Sign up with existing email shows clear error,Medium,50,Frontend error UI exists but depends on backend behavior
13,Password rules enforced consistently,Medium,50,Client-side checks present; server enforcement depends on backend
14,Login succeeds with correct credentials,Medium,50,Login page and mutation exist (mock); real backend integration partial
15,Session persists after close/reopen,Medium,50,AuthProvider + session query present; persistence depends on server cookies
16,Logout invalidates session and UI doesn't show auth data,Medium,50,Logout mutation + slice exist but full invalidation flow depends on backend
17,Forgot-password sends working link/OTP and resets password,Medium,50,Forgot-password UI exists; backend flows not implemented
18,Expired session redirects to login instead of broken screens,Medium,50,ProtectedRoute handles redirects; precise expired-session behavior depends on API
19,Active/Live/Knocked Out/Won Vaults tabs show correct counts,Medium,0,UI tabs exist but server-side counts/pagination not verified
20,Each league card shows crest,GW,label,survivors,picks,Medium,0,Some UI exists; data bindings partial
21,Tapping a league card opens correct League Detail,Medium,0,Navigation present but specific route wiring needs verification
22,Explore Leagues leads to full list of joinable leagues,Medium,0,Explore page exists but end-to-end flow not fully wired
23,Scrolling/pagination holds with many leagues,Medium,0,Performance not tested/implemented
24,League Detail header shows accurate league info and live countdown,High,0,Countdown wiring not implemented; header UI exists
25,Your Pick card shows correct primary/backup and live score,High,0,Live update wiring absent; placeholder UI
26,Survivors avatar row matches alive players; View All works,High,0,Survivor list UI exists; full list/pagination not implemented
27,Knocked Out list shows correct players and paginates,High,0,Server-side and UI pagination not implemented
28,League History strip accurate per GW; current GW highlighted,High,0,History UI exists but not fully backed by server data
29,League chat send/receive in order; unread badge accurate,High,0,Chat backend not implemented or integrated
30,Chat content sanitized/moderated; report/block path,High,0,Sanitization not fully implemented server-side
31,Confirm rules for knocked-out users in chat (Spectator Mode),High,0,Policy not enforced in code
32,Settings opens league settings/leave-league flow with confirmation,High,0,Settings UI partial; leave flow not fully implemented
33,Tapping survivor's avatar opens Opponent Profile scoped to league,High,0,Navigation present but data scoping not fully implemented
34,Opponent Profile shows correct name, badge, streak,High,0,Profile UI present but data binding partial
35,PICK-PRIVACY: editable opponent pick not visible before lock,High,0,Privacy rule not fully enforced in API/UI
36,Survival timeline shows past locked GWs only,High,0,Timeline UI exists but gating not implemented
37,Stats computed correctly against real history,High,0,Stats calculations rely on full history data; not fully verified
38,Badges distinguish earned vs coming-soon,High,0,Badge logic not fully implemented
39,Message opens DM chat; Compare shows accurate head-to-head,High,0,Chat/compare features not implemented
